Epoch 1/20, Train Loss: 0.6417, Test Accuracy: 67.12%
Epoch 2/20, Train Loss: 0.6248, Test Accuracy: 67.37%
Epoch 3/20, Train Loss: 0.6188, Test Accuracy: 67.97%
Epoch 4/20, Train Loss: 0.6138, Test Accuracy: 67.88%
Epoch 5/20, Train Loss: 0.6102, Test Accuracy: 67.80%
Epoch 6/20, Train Loss: 0.6109, Test Accuracy: 68.22%
Epoch 7/20, Train Loss: 0.6088, Test Accuracy: 68.35%
Epoch 8/20, Train Loss: 0.6053, Test Accuracy: 68.22%
Epoch 9/20, Train Loss: 0.6038, Test Accuracy: 68.56%
Epoch 10/20, Train Loss: 0.6031, Test Accuracy: 69.11%
Epoch 11/20, Train Loss: 0.6030, Test Accuracy: 68.98%
Epoch 12/20, Train Loss: 0.6023, Test Accuracy: 68.81%
Epoch 13/20, Train Loss: 0.5999, Test Accuracy: 69.11%
Epoch 14/20, Train Loss: 0.6006, Test Accuracy: 69.07%
Epoch 15/20, Train Loss: 0.5995, Test Accuracy: 69.58%
Epoch 16/20, Train Loss: 0.5978, Test Accuracy: 70.00%
Epoch 17/20, Train Loss: 0.5982, Test Accuracy: 69.87%
Epoch 18/20, Train Loss: 0.5988, Test Accuracy: 69.83%
Epoch 19/20, Train Loss: 0.5979, Test Accuracy: 69.92%
Epoch 20/20, Train Loss: 0.5979, Test Accuracy: 68.98%
