Epoch 1/20, Average Training Loss: 0.0594, Token-level Accuracy: 98.94%, Comment-level Accuracy: 14.82%
Epoch 2/20, Average Training Loss: 0.0314, Token-level Accuracy: 99.06%, Comment-level Accuracy: 21.21%
Epoch 3/20, Average Training Loss: 0.0276, Token-level Accuracy: 99.12%, Comment-level Accuracy: 29.07%
Epoch 4/20, Average Training Loss: 0.0260, Token-level Accuracy: 99.13%, Comment-level Accuracy: 31.88%
Epoch 5/20, Average Training Loss: 0.0247, Token-level Accuracy: 99.15%, Comment-level Accuracy: 34.06%
Epoch 6/20, Average Training Loss: 0.0238, Token-level Accuracy: 99.16%, Comment-level Accuracy: 35.46%
Epoch 7/20, Average Training Loss: 0.0228, Token-level Accuracy: 99.18%, Comment-level Accuracy: 36.68%
Epoch 8/20, Average Training Loss: 0.0220, Token-level Accuracy: 99.16%, Comment-level Accuracy: 36.87%
Epoch 9/20, Average Training Loss: 0.0212, Token-level Accuracy: 99.01%, Comment-level Accuracy: 36.17%
Epoch 10/20, Average Training Loss: 0.0203, Token-level Accuracy: 99.18%, Comment-level Accuracy: 38.27%
Epoch 11/20, Average Training Loss: 0.0193, Token-level Accuracy: 99.17%, Comment-level Accuracy: 38.91%
Epoch 12/20, Average Training Loss: 0.0183, Token-level Accuracy: 99.10%, Comment-level Accuracy: 38.85%
Epoch 13/20, Average Training Loss: 0.0176, Token-level Accuracy: 99.17%, Comment-level Accuracy: 39.42%
Epoch 14/20, Average Training Loss: 0.0163, Token-level Accuracy: 99.16%, Comment-level Accuracy: 40.83%
Epoch 15/20, Average Training Loss: 0.0155, Token-level Accuracy: 99.16%, Comment-level Accuracy: 42.94%
Epoch 16/20, Average Training Loss: 0.0148, Token-level Accuracy: 99.10%, Comment-level Accuracy: 39.62%
Epoch 17/20, Average Training Loss: 0.0137, Token-level Accuracy: 99.09%, Comment-level Accuracy: 40.77%
Epoch 18/20, Average Training Loss: 0.0130, Token-level Accuracy: 99.13%, Comment-level Accuracy: 40.45%
Epoch 19/20, Average Training Loss: 0.0123, Token-level Accuracy: 99.16%, Comment-level Accuracy: 43.13%
Epoch 20/20, Average Training Loss: 0.0117, Token-level Accuracy: 99.16%, Comment-level Accuracy: 41.15%
Total training time: 2566.45 seconds
