Epoch 1/30, Train Loss: 0.6308, Train Acc: 66.21%, Test Loss: 0.6226, Test Acc: 65.59%
Epoch 2/30, Train Loss: 0.6144, Train Acc: 66.71%, Test Loss: 0.6136, Test Acc: 66.02%
Epoch 3/30, Train Loss: 0.6095, Train Acc: 67.20%, Test Loss: 0.6069, Test Acc: 66.36%
Epoch 4/30, Train Loss: 0.6045, Train Acc: 67.40%, Test Loss: 0.6032, Test Acc: 67.03%
Epoch 5/30, Train Loss: 0.6022, Train Acc: 67.65%, Test Loss: 0.6005, Test Acc: 67.03%
Epoch 6/30, Train Loss: 0.6009, Train Acc: 67.49%, Test Loss: 0.5975, Test Acc: 66.99%
Epoch 7/30, Train Loss: 0.5993, Train Acc: 67.99%, Test Loss: 0.5962, Test Acc: 67.20%
Epoch 8/30, Train Loss: 0.5968, Train Acc: 68.33%, Test Loss: 0.5950, Test Acc: 67.03%
Epoch 9/30, Train Loss: 0.5961, Train Acc: 68.19%, Test Loss: 0.5921, Test Acc: 67.80%
Epoch 10/30, Train Loss: 0.5952, Train Acc: 68.17%, Test Loss: 0.5917, Test Acc: 67.58%
Epoch 11/30, Train Loss: 0.5936, Train Acc: 68.59%, Test Loss: 0.5900, Test Acc: 67.97%
Epoch 12/30, Train Loss: 0.5927, Train Acc: 68.51%, Test Loss: 0.5908, Test Acc: 67.67%
Epoch 13/30, Train Loss: 0.5923, Train Acc: 68.68%, Test Loss: 0.5887, Test Acc: 67.54%
Epoch 14/30, Train Loss: 0.5937, Train Acc: 68.20%, Test Loss: 0.5880, Test Acc: 68.26%
Epoch 15/30, Train Loss: 0.5905, Train Acc: 68.43%, Test Loss: 0.5866, Test Acc: 68.56%
Epoch 16/30, Train Loss: 0.5893, Train Acc: 68.71%, Test Loss: 0.5861, Test Acc: 68.22%
Epoch 17/30, Train Loss: 0.5907, Train Acc: 68.47%, Test Loss: 0.5861, Test Acc: 68.01%
Epoch 18/30, Train Loss: 0.5915, Train Acc: 68.45%, Test Loss: 0.5885, Test Acc: 68.43%
Epoch 19/30, Train Loss: 0.5912, Train Acc: 68.72%, Test Loss: 0.5894, Test Acc: 68.60%
Epoch 20/30, Train Loss: 0.5903, Train Acc: 68.52%, Test Loss: 0.5848, Test Acc: 68.14%
Epoch 21/30, Train Loss: 0.5888, Train Acc: 68.55%, Test Loss: 0.5894, Test Acc: 68.81%
Epoch 22/30, Train Loss: 0.5891, Train Acc: 68.83%, Test Loss: 0.5860, Test Acc: 68.94%
Epoch 23/30, Train Loss: 0.5884, Train Acc: 68.92%, Test Loss: 0.5838, Test Acc: 68.81%
Epoch 24/30, Train Loss: 0.5866, Train Acc: 68.93%, Test Loss: 0.5926, Test Acc: 68.81%
Epoch 25/30, Train Loss: 0.5868, Train Acc: 69.07%, Test Loss: 0.5820, Test Acc: 68.39%
Epoch 26/30, Train Loss: 0.5871, Train Acc: 68.67%, Test Loss: 0.5820, Test Acc: 69.19%
Epoch 27/30, Train Loss: 0.5855, Train Acc: 69.14%, Test Loss: 0.5847, Test Acc: 68.73%
Epoch 28/30, Train Loss: 0.5864, Train Acc: 69.15%, Test Loss: 0.5803, Test Acc: 69.07%
Epoch 29/30, Train Loss: 0.5871, Train Acc: 69.09%, Test Loss: 0.5807, Test Acc: 68.64%
Epoch 30/30, Train Loss: 0.5854, Train Acc: 68.97%, Test Loss: 0.5809, Test Acc: 68.77%
Total training time: 4927.62 seconds
