Epoch 1/30, Train Loss: 0.6327, Train Acc: 66.34%, Test Loss: 0.6121, Test Acc: 66.95%
Epoch 2/30, Train Loss: 0.6156, Train Acc: 66.57%, Test Loss: 0.6017, Test Acc: 66.86%
Epoch 3/30, Train Loss: 0.6097, Train Acc: 67.04%, Test Loss: 0.5967, Test Acc: 68.35%
Epoch 4/30, Train Loss: 0.6057, Train Acc: 67.32%, Test Loss: 0.5918, Test Acc: 68.56%
Epoch 5/30, Train Loss: 0.6021, Train Acc: 67.51%, Test Loss: 0.5892, Test Acc: 68.73%
Epoch 6/30, Train Loss: 0.6018, Train Acc: 67.67%, Test Loss: 0.5940, Test Acc: 69.07%
Epoch 7/30, Train Loss: 0.5991, Train Acc: 67.67%, Test Loss: 0.5859, Test Acc: 69.15%
Epoch 8/30, Train Loss: 0.5981, Train Acc: 67.86%, Test Loss: 0.5830, Test Acc: 69.24%
Epoch 9/30, Train Loss: 0.5972, Train Acc: 68.11%, Test Loss: 0.5812, Test Acc: 69.36%
Epoch 10/30, Train Loss: 0.5957, Train Acc: 68.20%, Test Loss: 0.5816, Test Acc: 69.49%
Epoch 11/30, Train Loss: 0.5949, Train Acc: 68.44%, Test Loss: 0.5876, Test Acc: 69.83%
Epoch 12/30, Train Loss: 0.5936, Train Acc: 68.81%, Test Loss: 0.5784, Test Acc: 69.83%
Epoch 13/30, Train Loss: 0.5924, Train Acc: 68.52%, Test Loss: 0.5826, Test Acc: 70.08%
Epoch 14/30, Train Loss: 0.5919, Train Acc: 68.45%, Test Loss: 0.5775, Test Acc: 69.92%
Epoch 15/30, Train Loss: 0.5902, Train Acc: 68.84%, Test Loss: 0.5769, Test Acc: 69.96%
Epoch 16/30, Train Loss: 0.5904, Train Acc: 68.46%, Test Loss: 0.5759, Test Acc: 69.83%
Epoch 17/30, Train Loss: 0.5908, Train Acc: 68.72%, Test Loss: 0.5937, Test Acc: 69.28%
Epoch 18/30, Train Loss: 0.5908, Train Acc: 68.50%, Test Loss: 0.5884, Test Acc: 69.45%
Epoch 19/30, Train Loss: 0.5883, Train Acc: 68.90%, Test Loss: 0.5771, Test Acc: 69.83%
Early stopping!
Total training time: 3076.17 seconds
