Epoch 1/30, Train Loss: 0.6236, Train Acc: 66.31%, Test Loss: 0.5974, Test Acc: 67.92%
Epoch 2/30, Train Loss: 0.6052, Train Acc: 67.30%, Test Loss: 0.5945, Test Acc: 67.50%
Epoch 3/30, Train Loss: 0.5981, Train Acc: 68.14%, Test Loss: 0.6047, Test Acc: 67.97%
Epoch 4/30, Train Loss: 0.5926, Train Acc: 68.32%, Test Loss: 0.5747, Test Acc: 70.04%
Epoch 5/30, Train Loss: 0.5895, Train Acc: 68.77%, Test Loss: 0.5769, Test Acc: 69.62%
Epoch 6/30, Train Loss: 0.5886, Train Acc: 68.85%, Test Loss: 0.6125, Test Acc: 65.17%
Epoch 7/30, Train Loss: 0.5840, Train Acc: 69.23%, Test Loss: 0.5780, Test Acc: 69.70%
Epoch 8/30, Train Loss: 0.5823, Train Acc: 69.04%, Test Loss: 0.5752, Test Acc: 70.00%
Epoch 9/30, Train Loss: 0.5823, Train Acc: 69.24%, Test Loss: 0.5792, Test Acc: 69.62%
Epoch 10/30, Train Loss: 0.5813, Train Acc: 69.45%, Test Loss: 0.5680, Test Acc: 70.64%
Epoch 11/30, Train Loss: 0.5803, Train Acc: 69.41%, Test Loss: 0.5715, Test Acc: 70.25%
Epoch 12/30, Train Loss: 0.5801, Train Acc: 69.62%, Test Loss: 0.5663, Test Acc: 70.30%
Epoch 13/30, Train Loss: 0.5796, Train Acc: 69.74%, Test Loss: 0.5621, Test Acc: 70.42%
Epoch 14/30, Train Loss: 0.5763, Train Acc: 70.07%, Test Loss: 0.5660, Test Acc: 70.81%
Epoch 15/30, Train Loss: 0.5755, Train Acc: 69.86%, Test Loss: 0.5630, Test Acc: 70.42%
Epoch 16/30, Train Loss: 0.5765, Train Acc: 69.54%, Test Loss: 0.5695, Test Acc: 70.89%
Epoch 17/30, Train Loss: 0.5752, Train Acc: 69.79%, Test Loss: 0.5583, Test Acc: 70.47%
Epoch 18/30, Train Loss: 0.5741, Train Acc: 70.19%, Test Loss: 0.5818, Test Acc: 68.47%
Epoch 19/30, Train Loss: 0.5743, Train Acc: 69.76%, Test Loss: 0.5631, Test Acc: 71.31%
Epoch 20/30, Train Loss: 0.5723, Train Acc: 69.77%, Test Loss: 0.5680, Test Acc: 70.81%
Epoch 21/30, Train Loss: 0.5738, Train Acc: 70.02%, Test Loss: 0.5603, Test Acc: 70.72%
Epoch 22/30, Train Loss: 0.5718, Train Acc: 70.18%, Test Loss: 0.5576, Test Acc: 71.06%
Epoch 23/30, Train Loss: 0.5733, Train Acc: 70.01%, Test Loss: 0.5607, Test Acc: 71.31%
Epoch 24/30, Train Loss: 0.5721, Train Acc: 70.14%, Test Loss: 0.5552, Test Acc: 71.14%
Epoch 25/30, Train Loss: 0.5707, Train Acc: 70.06%, Test Loss: 0.5653, Test Acc: 69.83%
Early stopping!
Total training time: 4793.99 seconds
