Epoch 1/30, Train Loss: 0.2415, Train Acc: 6.54%, Test Loss: 0.0758, Test Acc: 14.12%
Epoch 2/30, Train Loss: 0.0716, Train Acc: 13.84%, Test Loss: 0.0620, Test Acc: 15.14%
Epoch 3/30, Train Loss: 0.0611, Train Acc: 14.32%, Test Loss: 0.0544, Test Acc: 15.14%
Epoch 4/30, Train Loss: 0.0546, Train Acc: 14.49%, Test Loss: 0.0484, Test Acc: 15.40%
Epoch 5/30, Train Loss: 0.0498, Train Acc: 14.67%, Test Loss: 0.0440, Test Acc: 15.72%
Epoch 6/30, Train Loss: 0.0463, Train Acc: 14.23%, Test Loss: 0.0408, Test Acc: 15.91%
Epoch 7/30, Train Loss: 0.0438, Train Acc: 14.33%, Test Loss: 0.0385, Test Acc: 16.61%
Epoch 8/30, Train Loss: 0.0419, Train Acc: 14.25%, Test Loss: 0.0367, Test Acc: 17.38%
Epoch 9/30, Train Loss: 0.0406, Train Acc: 14.52%, Test Loss: 0.0354, Test Acc: 17.12%
Epoch 10/30, Train Loss: 0.0397, Train Acc: 14.68%, Test Loss: 0.0346, Test Acc: 17.64%
Epoch 11/30, Train Loss: 0.0390, Train Acc: 15.00%, Test Loss: 0.0339, Test Acc: 18.27%
Epoch 12/30, Train Loss: 0.0385, Train Acc: 14.95%, Test Loss: 0.0335, Test Acc: 18.34%
Epoch 13/30, Train Loss: 0.0382, Train Acc: 15.38%, Test Loss: 0.0331, Test Acc: 18.47%
Epoch 14/30, Train Loss: 0.0379, Train Acc: 15.28%, Test Loss: 0.0327, Test Acc: 18.66%
Epoch 15/30, Train Loss: 0.0377, Train Acc: 15.50%, Test Loss: 0.0324, Test Acc: 19.17%
Epoch 16/30, Train Loss: 0.0374, Train Acc: 15.38%, Test Loss: 0.0323, Test Acc: 19.23%
Epoch 17/30, Train Loss: 0.0374, Train Acc: 15.36%, Test Loss: 0.0323, Test Acc: 19.23%
Epoch 18/30, Train Loss: 0.0373, Train Acc: 15.47%, Test Loss: 0.0319, Test Acc: 20.51%
Epoch 19/30, Train Loss: 0.0372, Train Acc: 15.68%, Test Loss: 0.0318, Test Acc: 20.13%
Epoch 20/30, Train Loss: 0.0371, Train Acc: 15.40%, Test Loss: 0.0317, Test Acc: 20.13%
Epoch 21/30, Train Loss: 0.0370, Train Acc: 15.59%, Test Loss: 0.0317, Test Acc: 19.87%
Epoch 22/30, Train Loss: 0.0369, Train Acc: 15.41%, Test Loss: 0.0315, Test Acc: 19.87%
Epoch 23/30, Train Loss: 0.0368, Train Acc: 15.78%, Test Loss: 0.0315, Test Acc: 20.32%
Epoch 24/30, Train Loss: 0.0368, Train Acc: 15.64%, Test Loss: 0.0315, Test Acc: 20.26%
Early stopping!
Total training time: 2602.39 seconds
